Country,ISO-code,Fertility,Life expectancy,Population growth,Sex-ratio,Suicide rate,Urbanization rate,Median age,Year
United Kingdom,GBR,1.7,81.2,0.75,0.99,7.6,83.9,40.5,2020
United States,USA,1.7,78.9,0.74,0.97,13.7,82.7,38.1,2020
Uruguay,URY,2,77.8,0.35,0.94,16.5,95.5,35,2020
Uzbekistan,UZB,2.4,71.5,1.47,0.99,7.4,50.4,28.6,2020
Vanuatu,VUT,3.8,70.3,2.24,0.99,5.4,25.5,22,2020
Venezuela,VEN,2.3,72.1,1.53,0.99,3.8,88.3,28.3,2020
Vietnam,VNM,2,75.3,1.06,1.01,7,37.3,30.5,2020
Virgin Islands,VIR,2.1,,,0.91,,,41,2020
Virgin Islands,VIR,2.1,,,0.91,,,41,2020
Yemen,YEM,3.8,66.1,2.33,1.02,9.8,36.6,19.5,2020
Zambia,ZMB,4.6,63.5,3.19,1,11.3,44.6,16.8,2020
Zimbabwe,ZWE,3.6,61.2,2.7,0.96,19.1,32.2,20,2020
Palestine,PSE,,73.9,3.01,,,76.7,,2020
Saint Kitts and Nevis,KNA,,74.6,1.15,1,,30.8,35,2020
Saint Lucia,LCA,,76.1,0.89,0.95,7.3,18.8,34.8,2020
Saint Vincent and the Grenadines,VCT,,72.4,0.01,1.04,2.4,53,33.6,2020
Slovakia,SVK,,77.4,0.22,0.94,10.1,53.8,40.5,2020
American Samoa,ASM,,,-0.26,1,,87.2,25.5,2020
Cayman Islands,CYM,,,1.7,0.95,,100,40,2020
Monaco,MCO,,,0.85,0.94,,100,53.1,2020
Northern Mariana Islands,MNP,,,0.14,1.13,,91.8,33.6,2020
Puerto Rico,PRI,,,-0.73,0.9,,93.6,41.5,2020
Turks and Caicos Islands,TCA,,,2.19,1.01,,93.6,33.3,2020
Tuvalu,TUV,,,0.16,0.98,,64,25.7,2020
Anguilla,AIA,,,,0.9,,100,34.8,2020
Cook Islands,COK,,,,1.06,,75.5,36.5,2020
Gaza Strip,,,,,1.02,,,,2020
